Titulo,Anio,Valoracion,Genero
Un lugar en el mundo,1992,8.8,Drama
Lady Newton y la felicidad,2017,6.4,Animación
Kékszakállú,2016,6.4,Drama
Dolls,2002,7.5,Drama
Bar Bahar: Entre dos mundos,2016,8.2,Drama
Una pastelería en Tokio,2015,8.2,Drama
Mia Madre,2015,7.5,Comedia
Pride,2014,8.3,Drama
Outsider,2016,6.9,Thriller
La próxima vez apuntaré al corazón,2014,7.0,Thriller
El Fundamentalista Reticente,2013,7.7,Thriller
Los límites de la verdad,2013,6.3,Thriller
Que nadie duerma,2017,8.7,Documental
Recuerdos desde Fukushima,2016,6.7,Drama
Misión País Vasco,2017,6.1,Romántica
Museum,2016,6.0,Thriller
La hija de Ryan,1970,7.4,Romántica
Iqbal y la Fórmula Secreta,2015,6.3,Infantil
The most beautiful day,2016,7.7,Drama
Mi gran noche,2015,6.0,Comedia
El guardián de la reliquia,2017,4.3,Aventuras
La verdad sobre el caso Mendoza,2017,7.9,Documental
Me estás matando Susana,2016,5.8,Romántica
El otro hermano,2017,8.0,Western
Juventud sin esperanza,1971,7.8,Cine clásico
Fairy Tail: Dragon Cry,2017,6.4,Infantil
Las alucinantes aventuras de Bill y Ted,1989,6.4,Comedia
Entre sombras,2018,5.6,Thriller
Cita con el miedo,2017,5.1,Thriller
Loreak (Flores),2014,7.9,Drama
El futuro perfecto,2016,6.8,Documental
The Year I Lost My Mind,2017,6.2,Thriller
Handia,2017,7.7,Biopic
Artesanos del humor,2006,7.2,Documental
Nos vigilan,2015,8.0,Documental
Red Mordaza,2016,8.0,Thriller
Los Demonios,2015,6.9,Terror
Rock'n'roll... Of Corse!,2010,7.7,Documental musical
Omega,2016,8.7,Documental
Oasis: Supersonic,2016,7.9,Documental musical
Churchill,2016,6.6,Biopic
Operación Cacahuete 2. Misión: Salvar el parque,2017,8.5,Comedia
Eichmann en Argentina,2016,7.4,Documental
Los hermosos días de Aranjuez,2016,6.2,Drama
Desde allá,2015,6.3,Drama
Corazón Gigante,2015,8.0,Romántica
Parents,2016,7.0,Drama
