R_fighter;B_fighter;win_by;last_round;last_round_time;Format;Referee;date;location;Winner;weight_class;title_bout
Vicente Luque;Alvaro Herrera;Submission;2;3:52;3 Rnd (5-5-5);Chris Tognoni;July 07, 2016;Las Vegas, Nevada, USA;Vicente Luque;Welterweight;False
Rory MacDonald;Stephen Thompson;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);John McCarthy;June 18, 2016;Ottawa, Ontario, Canada;Stephen Thompson;Welterweight;False
Donald Cerrone;Patrick Cote;KO/TKO;3;2:35;3 Rnd (5-5-5);Yves Lavigne;June 18, 2016;Ottawa, Ontario, Canada;Donald Cerrone;Welterweight;False
Steve Bosse;Sean O'Connell;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;June 18, 2016;Ottawa, Ontario, Canada;Steve Bosse;Light Heavyweight;False
Olivier Aubin-Mercier;Thibault Gouti;Submission;3;2:28;3 Rnd (5-5-5);Yves Lavigne;June 18, 2016;Ottawa, Ontario, Canada;Olivier Aubin-Mercier;Lightweight;False
Valerie Letourneau;Joanne Calderwood;KO/TKO;3;2:44;3 Rnd (5-5-5);Jerin Valel;June 18, 2016;Ottawa, Ontario, Canada;Joanne Calderwood;Women's Flyweight;False
Jason Saggo;Leandro Silva;Decision - Split;3;5:00;3 Rnd (5-5-5);John McCarthy;June 18, 2016;Ottawa, Ontario, Canada;Jason Saggo;Lightweight;False
Misha Cirkunov;Ion Cutelaba;Submission;3;1:22;3 Rnd (5-5-5);Herb Dean;June 18, 2016;Ottawa, Ontario, Canada;Misha Cirkunov;Light Heavyweight;False
Tamdan McCrory;Krzysztof Jotko;KO/TKO;1;0:59;3 Rnd (5-5-5);Yves Lavigne;June 18, 2016;Ottawa, Ontario, Canada;Krzysztof Jotko;Middleweight;False
Chris Beal;Joe Soto;Submission;3;3:39;3 Rnd (5-5-5);Jerin Valel;June 18, 2016;Ottawa, Ontario, Canada;Joe Soto;Bantamweight;False
Elias Theodorou;Sam Alvey;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John McCarthy;June 18, 2016;Ottawa, Ontario, Canada;Elias Theodorou;Middleweight;False
Randa Markos;Jocelyn Jones-Lybarger;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;June 18, 2016;Ottawa, Ontario, Canada;Randa Markos;Women's Strawweight;False
Colby Covington;Jonathan Meunier;Submission;3;0:54;3 Rnd (5-5-5);Yves Lavigne;June 18, 2016;Ottawa, Ontario, Canada;Colby Covington;Welterweight;False
Ali Bagautinov;Geane Herrera;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jerin Valel;June 18, 2016;Ottawa, Ontario, Canada;Ali Bagautinov;Flyweight;False
Luke Rockhold;Michael Bisping;KO/TKO;1;3:36;5 Rnd (5-5-5-5-5);John McCarthy;June 04, 2016;Los Angeles, California, USA;Michael Bisping;Middleweight;True
Dominick Cruz;Urijah Faber;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Herb Dean;June 04, 2016;Los Angeles, California, USA;Dominick Cruz;Bantamweight;True
Max Holloway;Ricardo Lamas;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John McCarthy;June 04, 2016;Los Angeles, California, USA;Max Holloway;Featherweight;False
Dan Henderson;Hector Lombard;KO/TKO;2;1:27;3 Rnd (5-5-5);Herb Dean;June 04, 2016;Los Angeles, California, USA;Dan Henderson;Middleweight;False
Dustin Poirier;Bobby Green;KO/TKO;1;2:53;3 Rnd (5-5-5);Jason Herzog;June 04, 2016;Los Angeles, California, USA;Dustin Poirier;Lightweight;False
Brian Ortega;Clay Guida;KO/TKO;3;4:40;3 Rnd (5-5-5);Herb Dean;June 04, 2016;Los Angeles, California, USA;Brian Ortega;Featherweight;False
Beneil Dariush;James Vick;KO/TKO;1;4:16;3 Rnd (5-5-5);Mike Beltran;June 04, 2016;Los Angeles, California, USA;Beneil Dariush;Lightweight;False
Jessica Penne;Jessica Andrade;KO/TKO;2;2:56;3 Rnd (5-5-5);Jason Herzog;June 04, 2016;Los Angeles, California, USA;Jessica Andrade;Women's Strawweight;False
Cole Miller;Alex Caceres;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John McCarthy;June 04, 2016;Los Angeles, California, USA;Alex Caceres;Featherweight;False
Sean Strickland;Tom Breese;Decision - Split;3;5:00;3 Rnd (5-5-5);Herb Dean;June 04, 2016;Los Angeles, California, USA;Sean Strickland;Welterweight;False
Jonathan Wilson;Henrique da Silva;KO/TKO;2;4:11;3 Rnd (5-5-5);Mike Beltran;June 04, 2016;Los Angeles, California, USA;Henrique da Silva;Light Heavyweight;False
Kevin Casey;Elvis Mutapcic;Decision - Split;3;5:00;3 Rnd (5-5-5);Jason Herzog;June 04, 2016;Los Angeles, California, USA;;Middleweight;False
Polo Reyes;Dong Hyun Ma;KO/TKO;3;1:52;3 Rnd (5-5-5);Mike Beltran;June 04, 2016;Los Angeles, California, USA;Polo Reyes;Lightweight;False
Thomas Almeida;Cody Garbrandt;KO/TKO;1;2:53;5 Rnd (5-5-5-5-5);John McCarthy;May 29, 2016;Las Vegas, Nevada, USA;Cody Garbrandt;Bantamweight;False
Renan Barao;Jeremy Stephens;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;May 29, 2016;Las Vegas, Nevada, USA;Jeremy Stephens;Featherweight;False
Tarec Saffiedine;Rick Story;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John McCarthy;May 29, 2016;Las Vegas, Nevada, USA;Rick Story;Welterweight;False
Chris Camozzi;Vitor Miranda;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;May 29, 2016;Las Vegas, Nevada, USA;Chris Camozzi;Middleweight;False
Jorge Masvidal;Lorenz Larkin;Decision - Split;3;5:00;3 Rnd (5-5-5);Jason Herzog;May 29, 2016;Las Vegas, Nevada, USA;Lorenz Larkin;Welterweight;False
Joshua Burkman;Paul Felder;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;May 29, 2016;Las Vegas, Nevada, USA;Paul Felder;Lightweight;False
Sara McMann;Jessica Eye;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John McCarthy;May 29, 2016;Las Vegas, Nevada, USA;Sara McMann;Women's Bantamweight;False
Abel Trujillo;Jordan Rinaldi;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;May 29, 2016;Las Vegas, Nevada, USA;Abel Trujillo;Lightweight;False
Jake Collier;Alberto Uda;KO/TKO;2;1:06;3 Rnd (5-5-5);Jason Herzog;May 29, 2016;Las Vegas, Nevada, USA;Jake Collier;Middleweight;False
Erik Koch;Shane Campbell;Submission;2;3:02;3 Rnd (5-5-5);Chris Tognoni;May 29, 2016;Las Vegas, Nevada, USA;Erik Koch;Lightweight;False
Aljamain Sterling;Bryan Caraway;Decision - Split;3;5:00;3 Rnd (5-5-5);Jason Herzog;May 29, 2016;Las Vegas, Nevada, USA;Bryan Caraway;Bantamweight;False
Chris de la Rocha;Adam Milstead;KO/TKO;2;4:01;3 Rnd (5-5-5);Chris Tognoni;May 29, 2016;Las Vegas, Nevada, USA;Adam Milstead;Heavyweight;False
Fabricio Werdum;Stipe Miocic;KO/TKO;1;2:47;5 Rnd (5-5-5-5-5);Dan Miragliotta;May 14, 2016;Curitiba, Parana, Brazil;Stipe Miocic;Heavyweight;True
Jacare Souza;Vitor Belfort;KO/TKO;1;4:38;3 Rnd (5-5-5);Osiris Maia;May 14, 2016;Curitiba, Parana, Brazil;Jacare Souza;Middleweight;False
Cris Cyborg;Leslie Smith;KO/TKO;1;1:21;3 Rnd (5-5-5);Eduardo Herdy;May 14, 2016;Curitiba, Parana, Brazil;Cris Cyborg;Catch Weight;False
Mauricio Rua;Corey Anderson;Decision - Split;3;5:00;3 Rnd (5-5-5);Mario Yamasaki;May 14, 2016;Curitiba, Parana, Brazil;Mauricio Rua;Light Heavyweight;False
Warlley Alves;Bryan Barberena;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Leon Roberts;May 14, 2016;Curitiba, Parana, Brazil;Bryan Barberena;Welterweight;False
Demian Maia;Matt Brown;Submission;3;4:31;3 Rnd (5-5-5);Mario Yamasaki;May 14, 2016;Curitiba, Parana, Brazil;Demian Maia;Welterweight;False
Thiago Santos;Nate Marquardt;KO/TKO;1;3:39;3 Rnd (5-5-5);Kevin MacDonald;May 14, 2016;Curitiba, Parana, Brazil;Thiago Santos;Middleweight;False
Francisco Trinaldo;Yancy Medeiros;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;May 14, 2016;Curitiba, Parana, Brazil;Francisco Trinaldo;Lightweight;False
John Lineker;Rob Font;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin MacDonald;May 14, 2016;Curitiba, Parana, Brazil;John Lineker;Bantamweight;False
Rogerio Nogueira;Patrick Cummins;KO/TKO;1;4:52;3 Rnd (5-5-5);Leon Roberts;May 14, 2016;Curitiba, Parana, Brazil;Rogerio Nogueira;Light Heavyweight;False
Sergio Moraes;Luan Chagas;Decision - Split;3;5:00;3 Rnd (5-5-5);Osiris Maia;May 14, 2016;Curitiba, Parana, Brazil;;Welterweight;False
Renato Moicano;Zubaira Tukhugov;Decision - Split;3;5:00;3 Rnd (5-5-5);Eduardo Herdy;May 14, 2016;Curitiba, Parana, Brazil;Renato Moicano;Featherweight;False
Alistair Overeem;Andrei Arlovski;KO/TKO;2;1:12;5 Rnd (5-5-5-5-5);Marc Goddard;May 08, 2016;Rotterdam, Zuid-Holland, Netherlands;Alistair Overeem;Heavyweight;False
Antonio Silva;Stefan Struve;KO/TKO;1;0:16;3 Rnd (5-5-5);Leon Roberts;May 08, 2016;Rotterdam, Zuid-Holland, Netherlands;Stefan Struve;Heavyweight;False
Albert Tumenov;Gunnar Nelson;Submission;2;3:15;3 Rnd (5-5-5);Marc Goddard;May 08, 2016;Rotterdam, Zuid-Holland, Netherlands;Gunnar Nelson;Welterweight;False
Germaine de Randamie;Anna Elmose;KO/TKO;1;3:46;3 Rnd (5-5-5);Rich Mitchell;May 08, 2016;Rotterdam, Zuid-Holland, Netherlands;Germaine de Randamie;Women's Bantamweight;False
Nikita Krylov;Francimar Barroso;Submission;2;3:11;3 Rnd (5-5-5);Lukasz Bosacki;May 08, 2016;Rotterdam, Zuid-Holland, Netherlands;Nikita Krylov;Light Heavyweight;False
Karolina Kowalkiewicz;Heather Jo Clark;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;May 08, 2016;Rotterdam, Zuid-Holland, Netherlands;Karolina Kowalkiewicz;Women's Strawweight;False
Rustam Khabilov;Chris Wade;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Leon Roberts;May 08, 2016;Rotterdam, Zuid-Holland, Netherlands;Rustam Khabilov;Lightweight;False
Magnus Cedenblad;Garreth McLellan;KO/TKO;2;0:47;3 Rnd (5-5-5);Lukasz Bosacki;May 08, 2016;Rotterdam, Zuid-Holland, Netherlands;Magnus Cedenblad;Middleweight;False
Jon Tuck;Josh Emmett;Decision - Split;3;5:00;3 Rnd (5-5-5);Rich Mitchell;May 08, 2016;Rotterdam, Zuid-Holland, Netherlands;Josh Emmett;Lightweight;False
Yan Cabral;Reza Madadi;KO/TKO;3;1:56;3 Rnd (5-5-5);Leon Roberts;May 08, 2016;Rotterdam, Zuid-Holland, Netherlands;Reza Madadi;Lightweight;False
Kyoji Horiguchi;Neil Seery;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;May 08, 2016;Rotterdam, Zuid-Holland, Netherlands;Kyoji Horiguchi;Flyweight;False
Leon Edwards;Dominic Waters;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Lukasz Bosacki;May 08, 2016;Rotterdam, Zuid-Holland, Netherlands;Leon Edwards;Welterweight;False
Ulka Sasaki;Willie Gates;Submission;2;3:30;3 Rnd (5-5-5);Rich Mitchell;May 08, 2016;Rotterdam, Zuid-Holland, Netherlands;Ulka Sasaki;Flyweight;False
Jon Jones;Ovince Saint Preux;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Herb Dean;April 23, 2016;Las Vegas, Nevada, USA;Jon Jones;Light Heavyweight;True
Demetrious Johnson;Henry Cejudo;KO/TKO;1;2:49;5 Rnd (5-5-5-5-5);John McCarthy;April 23, 2016;Las Vegas, Nevada, USA;Demetrious Johnson;Flyweight;True
Anthony Pettis;Edson Barboza;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;April 23, 2016;Las Vegas, Nevada, USA;Edson Barboza;Lightweight;False
Robert Whittaker;Rafael Natal;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John McCarthy;April 23, 2016;Las Vegas, Nevada, USA;Robert Whittaker;Middleweight;False
Yair Rodriguez;Andre Fili;KO/TKO;2;2:15;3 Rnd (5-5-5);Dan Miragliotta;April 23, 2016;Las Vegas, Nevada, USA;Yair Rodriguez;Featherweight;False
Sergio Pettis;Chris Kelades;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;April 23, 2016;Las Vegas, Nevada, USA;Sergio Pettis;Flyweight;False
Danny Roberts;Dominique Steele;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;April 23, 2016;Las Vegas, Nevada, USA;Danny Roberts;Welterweight;False
Carla Esparza;Juliana Lima;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John McCarthy;April 23, 2016;Las Vegas, Nevada, USA;Carla Esparza;Women's Strawweight;False
Glaico Franca;James Vick;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;April 23, 2016;Las Vegas, Nevada, USA;James Vick;Lightweight;False
Walt Harris;Cody East;KO/TKO;1;4:18;3 Rnd (5-5-5);Mark Smith;April 23, 2016;Las Vegas, Nevada, USA;Walt Harris;Heavyweight;False
Marcos Rogerio de Lima;Clint Hester;Submission;1;4:35;3 Rnd (5-5-5);Dan Miragliotta;April 23, 2016;Las Vegas, Nevada, USA;Marcos Rogerio de Lima;Light Heavyweight;False
Efrain Escudero;Kevin Lee;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;April 23, 2016;Las Vegas, Nevada, USA;Kevin Lee;Lightweight;False
Glover Teixeira;Rashad Evans;KO/TKO;1;1:48;5 Rnd (5-5-5-5-5);Herb Dean;April 16, 2016;Tampa, Florida, USA;Glover Teixeira;Light Heavyweight;False
Rose Namajunas;Tecia Torres;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;April 16, 2016;Tampa, Florida, USA;Rose Namajunas;Women's Strawweight;False
Khabib Nurmagomedov;Darrell Horcher;KO/TKO;2;3:38;3 Rnd (5-5-5);James Warring;April 16, 2016;Tampa, Florida, USA;Khabib Nurmagomedov;Catch Weight;False
Cub Swanson;Hacran Dias;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;April 16, 2016;Tampa, Florida, USA;Cub Swanson;Featherweight;False
Beneil Dariush;Michael Chiesa;Submission;2;1:20;3 Rnd (5-5-5);Dan Miragliotta;April 16, 2016;Tampa, Florida, USA;Michael Chiesa;Lightweight;False
Bethe Correia;Raquel Pennington;Decision - Split;3;5:00;3 Rnd (5-5-5);James Warring;April 16, 2016;Tampa, Florida, USA;Raquel Pennington;Women's Bantamweight;False
Court McGee;Santiago Ponzinibbio;KO/TKO;1;4:15;3 Rnd (5-5-5);Herb Dean;April 16, 2016;Tampa, Florida, USA;Santiago Ponzinibbio;Welterweight;False
Randy Brown;Michael Graves;Submission;2;2:31;3 Rnd (5-5-5);Dan Miragliotta;April 16, 2016;Tampa, Florida, USA;Michael Graves;Welterweight;False
John Dodson;Manvel Gamburyan;KO/TKO;1;0:37;3 Rnd (5-5-5);James Warring;April 16, 2016;Tampa, Florida, USA;John Dodson;Bantamweight;False
Oluwale Bamgbose;Cezar Ferreira;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;April 16, 2016;Tampa, Florida, USA;Cezar Ferreira;Middleweight;False
Elizeu Zaleski dos Santos;Omari Akhmedov;KO/TKO;3;3:03;3 Rnd (5-5-5);Dan Miragliotta;April 16, 2016;Tampa, Florida, USA;Elizeu Zaleski dos Santos;Welterweight;False
Ben Rothwell;Junior Dos Santos;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Leon Roberts;April 10, 2016;Zagreb, Croatia;Junior Dos Santos;Heavyweight;False
Derrick Lewis;Gabriel Gonzaga;KO/TKO;1;4:48;3 Rnd (5-5-5);Marc Goddard;April 10, 2016;Zagreb, Croatia;Derrick Lewis;Heavyweight;False
Francis Ngannou;Curtis Blaydes;TKO - Doctor's Stoppage;2;5:00;3 Rnd (5-5-5);Kevin Sataki;April 10, 2016;Zagreb, Croatia;Francis Ngannou;Heavyweight;False
Tim Johnson;Marcin Tybura;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Grant Waterman;April 10, 2016;Zagreb, Croatia;Tim Johnson;Heavyweight;False
Igor Pokrajac;Jan Blachowicz;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Leon Roberts;April 10, 2016;Zagreb, Croatia;Jan Blachowicz;Light Heavyweight;False
Maryna Moroz;Cristina Stanciu;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin Sataki;April 10, 2016;Zagreb, Croatia;Maryna Moroz;Women's Strawweight;False
Nicolas Dalby;Zak Cummings;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;April 10, 2016;Zagreb, Croatia;Zak Cummings;Welterweight;False
Ian Entwistle;Alejandro Perez;KO/TKO;1;4:04;3 Rnd (5-5-5);Grant Waterman;April 10, 2016;Zagreb, Croatia;Alejandro Perez;Bantamweight;False
Mairbek Taisumov;Damir Hadzovic;KO/TKO;1;3:44;3 Rnd (5-5-5);;April 10, 2016;Zagreb, Croatia;Mairbek Taisumov;Lightweight;False
Filip Pejic;Damian Stasiak;Submission;1;2:16;3 Rnd (5-5-5);Marc Goddard;April 10, 2016;Zagreb, Croatia;Damian Stasiak;Bantamweight;False
Rob Whiteford;Lucas Martins;Decision - Split;3;5:00;3 Rnd (5-5-5);Leon Roberts;April 10, 2016;Zagreb, Croatia;Lucas Martins;Featherweight;False
Jared Cannonier;Cyril Asker;KO/TKO;1;2:44;3 Rnd (5-5-5);Grant Waterman;April 10, 2016;Zagreb, Croatia;Jared Cannonier;Heavyweight;False
Alessio Di Chirico;Bojan Velickovic;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kevin Sataki;April 10, 2016;Zagreb, Croatia;Bojan Velickovic;Middleweight;False
Mark Hunt;Frank Mir;KO/TKO;1;3:01;5 Rnd (5-5-5-5-5);Marc Goddard;March 19, 2016;Brisbane, Queensland, Australia;Mark Hunt;Heavyweight;False
Hector Lombard;Neil Magny;KO/TKO;3;0:46;3 Rnd (5-5-5);Steve Perceval;March 19, 2016;Brisbane, Queensland, Australia;Neil Magny;Welterweight;False
Jake Matthews;Johnny Case;Submission;3;4:45;3 Rnd (5-5-5);John Sharp;March 19, 2016;Brisbane, Queensland, Australia;Jake Matthews;Lightweight;False
Daniel Kelly;Antonio Carlos Junior;KO/TKO;3;1:36;3 Rnd (5-5-5);Greg Kleynjans;March 19, 2016;Brisbane, Queensland, Australia;Daniel Kelly;Middleweight;False
James Te Huna;Steve Bosse;KO/TKO;1;0:52;3 Rnd (5-5-5);Marc Goddard;March 19, 2016;Brisbane, Queensland, Australia;Steve Bosse;Light Heavyweight;False
Bec Rawlings;Seohee Ham;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Steve Perceval;March 19, 2016;Brisbane, Queensland, Australia;Bec Rawlings;Women's Strawweight;False
Brendan O'Reilly;Alan Jouban;KO/TKO;1;2:15;3 Rnd (5-5-5);John Sharp;March 19, 2016;Brisbane, Queensland, Australia;Alan Jouban;Welterweight;False
Dan Hooker;Mark Eddiva;Submission;1;1:24;3 Rnd (5-5-5);Greg Kleynjans;March 19, 2016;Brisbane, Queensland, Australia;Dan Hooker;Featherweight;False
Leslie Smith;Rin Nakai;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John Sharp;March 19, 2016;Brisbane, Queensland, Australia;Leslie Smith;Women's Bantamweight;False
Richard Walsh;Viscardi Andrade;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;March 19, 2016;Brisbane, Queensland, Australia;Viscardi Andrade;Welterweight;False
Ross Pearson;Chad Laprise;Decision - Split;3;5:00;3 Rnd (5-5-5);Steve Perceval;March 19, 2016;Brisbane, Queensland, Australia;Ross Pearson;Lightweight;False
Alan Patrick;Damien Brown;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Greg Kleynjans;March 19, 2016;Brisbane, Queensland, Australia;Alan Patrick;Lightweight;False
Conor McGregor;Nate Diaz;Submission;2;4:12;5 Rnd (5-5-5-5-5);Herb Dean;March 05, 2016;Las Vegas, Nevada, USA;Nate Diaz;Welterweight;False
Holly Holm;Miesha Tate;Submission;5;3:30;5 Rnd (5-5-5-5-5);John McCarthy;March 05, 2016;Las Vegas, Nevada, USA;Miesha Tate;Women's Bantamweight;True
Gian Villante;Ilir Latifi;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Yves Lavigne;March 05, 2016;Las Vegas, Nevada, USA;Ilir Latifi;Light Heavyweight;False
Corey Anderson;Tom Lawlor;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John McCarthy;March 05, 2016;Las Vegas, Nevada, USA;Corey Anderson;Light Heavyweight;False
Amanda Nunes;Valentina Shevchenko;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;March 05, 2016;Las Vegas, Nevada, USA;Amanda Nunes;Women's Bantamweight;False
Brandon Thatch;Siyar Bahadurzada;Submission;3;4:11;3 Rnd (5-5-5);John McCarthy;March 05, 2016;Las Vegas, Nevada, USA;Siyar Bahadurzada;Welterweight;False
Erick Silva;Nordine Taleb;KO/TKO;2;1:34;3 Rnd (5-5-5);Herb Dean;March 05, 2016;Las Vegas, Nevada, USA;Nordine Taleb;Welterweight;False
Vitor Miranda;Marcelo Guimaraes;KO/TKO;2;1:09;3 Rnd (5-5-5);Chris Tognoni;March 05, 2016;Las Vegas, Nevada, USA;Vitor Miranda;Middleweight;False
Darren Elkins;Chas Skelly;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Yves Lavigne;March 05, 2016;Las Vegas, Nevada, USA;Darren Elkins;Featherweight;False
Diego Sanchez;Jim Miller;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;March 05, 2016;Las Vegas, Nevada, USA;Diego Sanchez;Lightweight;False
Jason Saggo;Justin Salas;KO/TKO;1;4:31;3 Rnd (5-5-5);Yves Lavigne;March 05, 2016;Las Vegas, Nevada, USA;Jason Saggo;Lightweight;False
Julian Erosa;Teruto Ishihara;KO/TKO;2;0:34;3 Rnd (5-5-5);Chris Tognoni;March 05, 2016;Las Vegas, Nevada, USA;Teruto Ishihara;Featherweight;False
Anderson Silva;Michael Bisping;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Herb Dean;February 27, 2016;London, England, United Kingdom;Michael Bisping;Middleweight;False
Gegard Mousasi;Thales Leites;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Marc Goddard;February 27, 2016;London, England, United Kingdom;Gegard Mousasi;Middleweight;False
Tom Breese;Keita Nakamura;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Leon Roberts;February 27, 2016;London, England, United Kingdom;Tom Breese;Welterweight;False
Francisco Rivera;Brad Pickett;Decision - Split;3;5:00;3 Rnd (5-5-5);Neil Hall;February 27, 2016;London, England, United Kingdom;Brad Pickett;Bantamweight;False
Mike Wilkinson;Makwan Amirkhani;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Grant Waterman;February 27, 2016;London, England, United Kingdom;Makwan Amirkhani;Featherweight;False
Davey Grant;Marlon Vera;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);;February 27, 2016;London, England, United Kingdom;Davey Grant;Bantamweight;False
Scott Askham;Chris Dempsey;KO/TKO;1;4:45;3 Rnd (5-5-5);Leon Roberts;February 27, 2016;London, England, United Kingdom;Scott Askham;Middleweight;False
Arnold Allen;Yaotzin Meza;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Grant Waterman;February 27, 2016;London, England, United Kingdom;Arnold Allen;Featherweight;False
Bradley Scott;Krzysztof Jotko;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;February 27, 2016;London, England, United Kingdom;Krzysztof Jotko;Middleweight;False
Norman Parke;Rustam Khabilov;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);;February 27, 2016;London, England, United Kingdom;Rustam Khabilov;Lightweight;False
Daniel Omielanczuk;Jarjis Danho;Decision - Majority;3;1:31;3 Rnd (5-5-5);Leon Roberts;February 27, 2016;London, England, United Kingdom;Daniel Omielanczuk;Heavyweight;False
Teemu Packalen;Thibault Gouti;Submission;1;0:24;3 Rnd (5-5-5);Grant Waterman;February 27, 2016;London, England, United Kingdom;Teemu Packalen;Lightweight;False
David Teymur;Martin Svensson;KO/TKO;2;1:26;3 Rnd (5-5-5);Neil Hall;February 27, 2016;London, England, United Kingdom;David Teymur;Lightweight;False
Donald Cerrone;Alex Oliveira;Submission;1;2:33;5 Rnd (5-5-5-5-5);Mario Yamasaki;February 21, 2016;Pittsburgh, Pennsylvania, USA;Donald Cerrone;Welterweight;False
Derek Brunson;Roan Carneiro;KO/TKO;1;2:38;3 Rnd (5-5-5);Keith Peterson;February 21, 2016;Pittsburgh, Pennsylvania, USA;Derek Brunson;Middleweight;False
Cody Garbrandt;Augusto Mendes;KO/TKO;1;4:18;3 Rnd (5-5-5);Mario Yamasaki;February 21, 2016;Pittsburgh, Pennsylvania, USA;Cody Garbrandt;Catch Weight;False
Dennis Bermudez;Tatsuya Kawajiri;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;February 21, 2016;Pittsburgh, Pennsylvania, USA;Dennis Bermudez;Featherweight;False
Chris Camozzi;Joe Riggs;KO/TKO;1;0:26;3 Rnd (5-5-5);Mario Yamasaki;February 21, 2016;Pittsburgh, Pennsylvania, USA;Chris Camozzi;Middleweight;False
James Krause;Shane Campbell;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;February 21, 2016;Pittsburgh, Pennsylvania, USA;James Krause;Lightweight;False
Alex Garcia;Sean Strickland;KO/TKO;3;4:25;3 Rnd (5-5-5);Bill Bookwalter;February 21, 2016;Pittsburgh, Pennsylvania, USA;Sean Strickland;Welterweight;False
Daniel Sarafian;Oluwale Bamgbose;KO/TKO;1;1:00;3 Rnd (5-5-5);James Chappell;February 21, 2016;Pittsburgh, Pennsylvania, USA;Oluwale Bamgbose;Middleweight;False
Anthony Smith;Leonardo Augusto Leleco;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chip Snider;February 21, 2016;Pittsburgh, Pennsylvania, USA;Anthony Smith;Middleweight;False
Jonavin Webb;Nathan Coy;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;February 21, 2016;Pittsburgh, Pennsylvania, USA;Nathan Coy;Welterweight;False
Marion Reneau;Ashlee Evans-Smith;Decision - Split;3;5:00;3 Rnd (5-5-5);James Chappell;February 21, 2016;Pittsburgh, Pennsylvania, USA;Ashlee Evans-Smith;Women's Bantamweight;False
Lauren Murphy;Kelly Faszholz;KO/TKO;3;4:55;3 Rnd (5-5-5);Bill Bookwalter;February 21, 2016;Pittsburgh, Pennsylvania, USA;Lauren Murphy;Women's Bantamweight;False
